date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:30:12	60244/60244	---MCZ	200	added ('OK')	text/html	etag:W/%2265e93675-eb54%22	http://lcdata.laicun.wang/bd/main2.html	D:/httrack/5.28/lcdata.laicun.wang/bd/main2.html	(from )
18:30:12	500/500	---MCZ	200	added ('OK')	text/html	etag:W/%2262dbc372-428%22	http://lcdata.laicun.wang/robots.txt		(from )
18:30:28	2192437/2192437	---MCZ	200	added ('OK')	text/css	etag:W/%2265bdb34d-217435%22	http://lcdata.laicun.wang/bd/main1.css	D:/httrack/5.28/lcdata.laicun.wang/bd/main1.css	(from http://lcdata.laicun.wang/bd/main2.html)
18:30:29	87533/87533	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264eca334-155ed%22	http://lcdata.laicun.wang/bd/js/jquery.min.js	D:/httrack/5.28/lcdata.laicun.wang/bd/js/jquery.min.js	(from http://lcdata.laicun.wang/bd/main2.html)
18:30:41	709498/709498	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265a257dd-ad37a%22	http://lcdata.laicun.wang/bd/js/flv.js	D:/httrack/5.28/lcdata.laicun.wang/bd/js/flv.js	(from http://lcdata.laicun.wang/bd/main2.html)
18:30:50	512609/512609	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264833874-7d261%22	http://lcdata.laicun.wang/bd/js/apexcharts.min.js	D:/httrack/5.28/lcdata.laicun.wang/bd/js/apexcharts.min.js	(from http://lcdata.laicun.wang/bd/main2.html)
18:30:50	2309/2309	---M--	200	added ('OK')	image/png	etag:%2265bddd85-905%22	http://lcdata.laicun.wang/bd/images/header_bg.png	D:/httrack/5.28/lcdata.laicun.wang/bd/images/header_bg.png	(from http://lcdata.laicun.wang/bd/main2.html)
18:31:10	117376/117376	---M--	200	added ('OK')	image/png	etag:%2265bddf17-1ca80%22	http://lcdata.laicun.wang/bd/images/TB1AgnntQvoK1RjSZPfXXXPKFXa-800-86.png	D:/httrack/5.28/lcdata.laicun.wang/bd/images/TB1AgnntQvoK1RjSZPfXXXPKFXa-800-86.png	(from http://lcdata.laicun.wang/bd/main2.html)
18:31:11	5773/5773	---M--	200	added ('OK')	image/png	etag:%2265bde2a0-168d%22	http://lcdata.laicun.wang/bd/images/logo_bg.png	D:/httrack/5.28/lcdata.laicun.wang/bd/images/logo_bg.png	(from http://lcdata.laicun.wang/bd/main2.html)
18:31:12	2524/2524	---M--	200	added ('OK')	image/png	etag:%2265bde466-9dc%22	http://lcdata.laicun.wang/bd/images/logo.png	D:/httrack/5.28/lcdata.laicun.wang/bd/images/logo.png	(from http://lcdata.laicun.wang/bd/main2.html)
18:31:12	1408/1408	---M--	200	added ('OK')	image/svg+xml	etag:%2265bdded9-580%22	http://lcdata.laicun.wang/bd/images/1631257165971-cVmfWobZ.svg	D:/httrack/5.28/lcdata.laicun.wang/bd/images/1631257165971-cVmfWobZ.svg	(from http://lcdata.laicun.wang/bd/main2.html)
18:31:12	154/154	---M--	200	added ('OK')	image/png	etag:%2265bddf0c-9a%22	http://lcdata.laicun.wang/bd/images/1631257651033-Kajd4_K6.png	D:/httrack/5.28/lcdata.laicun.wang/bd/images/1631257651033-Kajd4_K6.png	(from http://lcdata.laicun.wang/bd/main2.html)
18:31:12	157/157	---M--	200	added ('OK')	image/png	etag:%2265bddf0e-9d%22	http://lcdata.laicun.wang/bd/images/1631257657617-R_MXZbca.png	D:/httrack/5.28/lcdata.laicun.wang/bd/images/1631257657617-R_MXZbca.png	(from http://lcdata.laicun.wang/bd/main2.html)
18:31:13	2051/2051	---M--	200	added ('OK')	image/png	etag:%2265bddee2-803%22	http://lcdata.laicun.wang/bd/images/1631246080031-YiQ2TwtG.png	D:/httrack/5.28/lcdata.laicun.wang/bd/images/1631246080031-YiQ2TwtG.png	(from http://lcdata.laicun.wang/bd/main2.html)
